Flow data
Thursday, March 24, 2022 11:59:59.341
TEMP_SMC1	FLOW_SMC1	TEMP_SMC2	FLOW_SMC2	TEMP_SMC3	FLOW_SMC3	valeur_HT
25.150968	0.070359	25.392918	0.066488	25.344528	0.070359	5097.573080
25.167098	0.078102	25.392918	0.069069	25.360658	0.067778	4757.003387
25.142903	0.074230	25.376788	0.065198	25.376788	0.072940	5092.637287
25.159033	0.071650	25.368723	0.067778	25.384853	0.071650	4888.624524
25.150968	0.074230	25.400983	0.061326	25.336463	0.070359	5135.414157
25.142903	0.069069	25.376788	0.062617	25.384853	0.074230	4724.098103
25.159033	0.075521	25.409048	0.063907	25.352593	0.069069	5074.539381
25.134838	0.071650	25.392918	0.065198	25.344528	0.072940	4895.205581
25.167098	0.076811	25.409048	0.065198	25.304203	0.070359	5145.285742
25.134838	0.072940	25.409048	0.069069	25.328398	0.069069	4877.107675
25.167098	0.075521	25.376788	0.065198	25.384853	0.075521	5127.187836
25.159033	0.075521	25.368723	0.070359	25.352593	0.072940	4816.232899
25.142903	0.075521	25.384853	0.053584	25.352593	0.067778	5114.025722
25.134838	0.074230	25.384853	0.062617	25.352593	0.072940	4844.202390
25.159033	0.078102	25.384853	0.065198	25.320333	0.072940	5146.931006
25.142903	0.070359	25.368723	0.065198	25.376788	0.071650	4806.361314
25.167098	0.075521	25.409048	0.069069	25.344528	0.070359	5090.992023
25.134838	0.071650	25.376788	0.065198	25.392918	0.069069	4701.064404
25.175163	0.075521	25.392918	0.070359	25.320333	0.069069	5087.701494
25.118708	0.072940	25.384853	0.065198	25.368723	0.065198	4778.391822
25.167098	0.078102	25.376788	0.067778	25.336463	0.072940	5138.704685
25.159033	0.076811	25.384853	0.070359	25.336463	0.072940	4687.902290
25.126773	0.074230	25.376788	0.061326	25.352593	0.070359	5079.475173
25.167098	0.072940	25.376788	0.060036	25.360658	0.072940	4765.229708
25.142903	0.074230	25.400983	0.063907	25.336463	0.070359	5114.025722
25.167098	0.081973	25.400983	0.071650	25.336463	0.070359	4780.037086
